,managed_money_long,managed_money_short,managed_money_net,producer_long,producer_short,producer_net,swap_dealers_net,other_reportables_net
2006-06-13,99739.0,29859.0,69880.0,27041.0,117483.0,-90442.0,-43959.0,29407.0
2006-06-20,91198.0,30082.0,61116.0,29230.0,112900.0,-83670.0,-38601.0,29105.0
2006-06-27,88635.0,31420.0,57215.0,30747.0,110141.0,-79394.0,-36847.0,28409.0
2006-07-04,90104.0,30778.0,61767.0,29615.0,108909.0,-79294.0,-43888.0,32594.0
2006-07-11,101019.0,29135.0,71884.0,34094.0,114612.0,-80518.0,-51529.0,30045.0
2006-07-18,105068.0,25797.0,79271.0,30100.0,115518.0,-85418.0,-54673.0,28103.0
2006-07-25,96891.0,23984.0,72907.0,34473.0,118546.0,-84073.0,-55416.0,28648.0
2006-08-01,95785.0,25176.0,70609.0,29814.0,123870.0,-94056.0,-44377.0,32152.0
2006-08-08,100994.0,26676.0,74318.0,30425.0,129179.0,-98754.0,-43171.0,31780.0
2006-08-15,94115.0,26225.0,67890.0,31132.0,126778.0,-95646.0,-39483.0,32654.0
2006-08-22,87386.0,27081.0,60305.0,32180.0,125829.0,-93649.0,-34424.0,35643.0
2006-08-29,80809.0,31280.0,49529.0,33212.0,123138.0,-89926.0,-27319.0,38187.0
2006-09-05,87652.0,29430.0,58222.0,32468.0,127680.0,-95212.0,-36053.0,40112.0
2006-09-12,76571.0,30631.0,45940.0,35621.0,120300.0,-84679.0,-26016.0,38282.0
2006-09-19,72225.0,30632.0,41593.0,41086.0,119904.0,-78818.0,-23107.0,36275.0
2006-09-26,68325.0,33001.0,35324.0,42960.0,116405.0,-73445.0,-21920.0,35920.0
2006-10-03,66119.0,33666.0,32453.0,46766.0,116196.0,-69430.0,-22564.0,36981.0
2006-10-10,62270.0,39206.0,23064.0,48112.0,114999.0,-66887.0,-15715.0,39385.0
2006-10-17,64602.0,42773.0,21829.0,46758.0,112417.0,-65659.0,-17479.0,39430.0
2006-10-24,54019.0,43840.0,10179.0,50694.0,112215.0,-61521.0,-18988.0,45871.0
2006-10-31,59985.0,39093.0,20892.0,41086.0,109303.0,-68217.0,-23679.0,43824.0
2006-11-07,76134.0,32604.0,43530.0,39160.0,121982.0,-82822.0,-31634.0,37636.0
2006-11-14,79157.0,29403.0,49754.0,45125.0,133631.0,-88506.0,-35015.0,39080.0
2006-11-21,77773.0,29323.0,48450.0,40770.0,127929.0,-87159.0,-31817.0,35843.0
2006-11-28,75457.0,30862.0,44595.0,43198.0,123208.0,-80010.0,-37714.0,35271.0
2006-12-05,80731.0,28684.0,52047.0,34153.0,117141.0,-82988.0,-37180.0,31592.0
2006-12-12,78367.0,28281.0,50086.0,34159.0,119986.0,-85827.0,-30455.0,31743.0
2006-12-19,68672.0,29711.0,38961.0,40007.0,119734.0,-79727.0,-22005.0,30932.0
2006-12-26,69815.0,31696.0,38119.0,40150.0,121029.0,-80879.0,-22189.0,29973.0
2007-01-02,77786.0,30994.0,46792.0,36896.0,122207.0,-85311.0,-27136.0,31091.0
2007-01-09,65657.0,39661.0,25996.0,39737.0,108459.0,-68722.0,-12952.0,26872.0
2007-01-16,68430.0,33371.0,35059.0,44073.0,112691.0,-68618.0,-23491.0,27891.0
2007-01-23,85684.0,27746.0,57938.0,46493.0,127422.0,-80929.0,-37648.0,26563.0
2007-01-30,99352.0,29366.0,69986.0,39261.0,129221.0,-89960.0,-45651.0,30359.0
2007-02-06,109228.0,27766.0,81462.0,35549.0,136981.0,-101432.0,-45232.0,27084.0
2007-02-13,121684.0,24627.0,97057.0,37250.0,147302.0,-110052.0,-55412.0,27693.0
2007-02-20,121632.0,25830.0,95802.0,37677.0,152335.0,-114658.0,-53492.0,34131.0
2007-02-27,135725.0,23488.0,112237.0,40388.0,163533.0,-123145.0,-60605.0,29855.0
2007-03-06,90236.0,21355.0,68881.0,46621.0,144155.0,-97534.0,-39777.0,32817.0
