,gld_shares,gld_aum,iau_shares,iau_aum
2004-11-17,2.6,114.92,,
2004-11-18,13.2,583.44,,
2004-11-19,18.6,828.816,,
2004-11-22,28.0,1253.84,,
2004-11-23,28.0,1254.68,,
2004-11-24,31.0,1390.66,,
2004-11-26,32.3,1456.73,,
2004-11-29,33.3,1502.496,,
2004-11-30,33.3,1509.489,,
2004-12-01,33.3,1507.824,,
2004-12-02,33.3,1512.153,,
2004-12-03,33.3,1493.838,,
2004-12-06,33.3,1508.49,,
2004-12-07,28.3,1278.311,,
2004-12-08,29.3,1279.824,,
2004-12-09,29.3,1280.41,,
2004-12-10,29.3,1271.327,,
2004-12-13,29.3,1274.55,,
2004-12-14,29.3,1280.41,,
2004-12-15,29.3,1285.977,,
2004-12-16,29.3,1287.442,,
2004-12-17,28.5,1250.58,,
2004-12-20,28.5,1260.555,,
2004-12-21,28.5,1256.28,,
2004-12-22,29.5,1300.36,,
2004-12-23,29.5,1300.655,,
2004-12-27,29.5,1303.9,,
2004-12-28,29.5,1303.9,,
2004-12-29,29.5,1307.735,,
2004-12-30,30.5,1327.97,,
2004-12-31,30.5,1335.29,,
2005-01-03,35.1,1536.678,,
2005-01-04,35.1,1500.525,,
2005-01-05,35.1,1494.558,,
2005-01-06,36.1,1531.001,,
2005-01-07,39.6,1671.12,,
2005-01-10,39.6,1662.012,,
2005-01-11,44.9,1890.739,,
2005-01-12,45.9,1956.717,,
2005-01-13,45.9,1942.947,,
2005-01-14,45.9,1937.898,,
2005-01-18,45.9,1934.685,,
2005-01-19,45.9,1949.373,,
2005-01-20,45.9,1939.734,,
2005-01-21,45.9,1941.57,,
2005-01-24,47.9,2045.33,,
2005-01-25,48.9,2074.338,,
2005-01-26,48.9,2080.695,,
2005-01-27,48.9,2074.338,1.75,
2005-01-28,48.9,2085.585,1.75,
2005-01-31,48.9,2062.602,1.75,14.763
2005-02-01,48.9,2056.245,18.0,
2005-02-02,48.9,2059.668,29.75,
2005-02-03,48.9,2034.729,29.75,
2005-02-04,48.9,2031.795,,
2005-02-07,48.9,2024.46,29.75,
2005-02-08,49.9,2049.393,46.25,
2005-02-09,49.9,2049.892,46.25,
2005-02-10,49.9,2071.349,46.25,
2005-02-11,49.9,2088.315,46.25,
2005-02-14,49.9,2114.762,61.0,
2005-02-15,49.9,2115.76,,
2005-02-16,49.9,2109.273,,
2005-02-17,49.9,2124.742,61.0,
2005-02-18,51.4,2193.238,61.0,
2005-02-22,50.8,2196.592,61.0,
2005-02-23,50.8,2195.068,75.5,
2005-02-24,50.8,2201.164,75.5,
2005-02-25,50.8,2203.704,75.5,
2005-02-28,50.8,2209.8,75.5,658.813
2005-03-01,50.8,2199.64,75.5,
2005-03-02,51.8,2234.134,75.5,
2005-03-03,52.8,2268.816,75.5,
2005-03-04,52.8,2285.712,75.5,
2005-03-07,52.8,2283.6,78.0,
2005-03-08,52.8,2305.776,78.0,
2005-03-09,52.8,2317.92,78.0,
2005-03-10,52.8,2321.616,78.0,
2005-03-11,52.8,2339.568,78.0,
2005-03-14,52.8,2330.592,78.0,
2005-03-15,52.8,2323.728,63.75,
2005-03-16,52.8,2335.872,63.75,
2005-03-17,52.8,2312.64,63.75,
2005-03-18,52.8,2305.248,63.75,
2005-03-21,52.8,2281.488,63.75,
2005-03-22,52.8,2278.848,49.5,
2005-03-23,52.8,2252.976,49.5,
2005-03-24,52.8,2241.888,49.5,
2005-03-28,52.8,2241.36,35.0,
2005-03-29,52.8,2246.64,35.0,
2005-03-30,52.8,2248.224,35.0,
2005-03-31,52.8,2254.032,35.0,298.62
2005-04-01,52.8,2251.92,35.0,
2005-04-04,52.8,2235.024,20.0,
2005-04-05,53.7,2276.88,20.0,
2005-04-06,54.7,2325.297,20.0,
2005-04-07,55.7,2380.061,20.0,
2005-04-08,55.7,2364.465,20.0,
2005-04-11,55.7,2385.631,20.0,
2005-04-12,57.2,2440.152,20.0,
2005-04-13,57.2,2441.296,20.0,
2005-04-14,57.2,2418.416,20.0,
2005-04-15,57.2,2424.708,20.0,
2005-04-18,57.2,2431.0,20.0,
2005-04-19,57.2,2440.724,20.0,
2005-04-20,57.2,2473.9,20.0,
2005-04-21,57.2,2478.476,20.0,
2005-04-22,57.2,2481.908,20.0,
2005-04-25,57.6,2488.896,20.0,
2005-04-26,57.6,2512.512,20.0,
2005-04-27,57.6,2497.536,20.0,
