,Close,Volume
2005-01-28,8.538,2888500.0
2005-01-31,8.454,759500.0
2005-02-01,8.424,347500.0
2005-02-02,8.446,1496500.0
2005-02-03,8.344,534000.0
2005-02-04,8.3,433500.0
2005-02-07,8.27,938000.0
2005-02-08,8.258,880500.0
2005-02-09,8.268,404500.0
2005-02-10,8.362,1060000.0
2005-02-11,8.424,271000.0
2005-02-14,8.524,361500.0
2005-02-15,8.518,179500.0
2005-02-16,8.512,207500.0
2005-02-17,8.548,536500.0
2005-02-18,8.568,248000.0
2005-02-22,8.72,324500.0
2005-02-23,8.696,572000.0
2005-02-24,8.686,453000.0
2005-02-25,8.708,324500.0
2005-02-28,8.722,696000.0
2005-03-01,8.656,746500.0
2005-03-02,8.664,224500.0
2005-03-03,8.612,284500.0
2005-03-04,8.686,221000.0
2005-03-07,8.696,260500.0
2005-03-08,8.81,622000.0
2005-03-09,8.816,441500.0
2005-03-10,8.846,251500.0
2005-03-11,8.9,640500.0
2005-03-14,8.812,716000.0
2005-03-15,8.816,310000.0
2005-03-16,8.874,393500.0
2005-03-17,8.774,382500.0
2005-03-18,8.79,146000.0
2005-03-21,8.62,532000.0
2005-03-22,8.54,262000.0
2005-03-23,8.494,582500.0
2005-03-24,8.494,565000.0
2005-03-28,8.516,135500.0
2005-03-29,8.522,135000.0
2005-03-30,8.528,132000.0
2005-03-31,8.576,80500.0
2005-04-01,8.526,347000.0
2005-04-04,8.484,89000.0
2005-04-05,8.496,93000.0
2005-04-06,8.536,341500.0
2005-04-07,8.518,200000.0
2005-04-08,8.536,214000.0
2005-04-11,8.56,210000.0
2005-04-12,8.56,80000.0
2005-04-13,8.584,75500.0
2005-04-14,8.476,82000.0
2005-04-15,8.494,81000.0
2005-04-18,8.546,91500.0
2005-04-19,8.666,432000.0
2005-04-20,8.7,83500.0
2005-04-21,8.636,177000.0
2005-04-22,8.694,79500.0
2005-04-25,8.686,307000.0
2005-04-26,8.742,352000.0
2005-04-27,8.646,423500.0
2005-04-28,8.612,172000.0
2005-04-29,8.686,341500.0
2005-05-02,8.594,103500.0
2005-05-03,8.56,111000.0
2005-05-04,8.588,186000.0
2005-05-05,8.6,167500.0
2005-05-06,8.518,244000.0
2005-05-09,8.524,87500.0
2005-05-10,8.526,102500.0
2005-05-11,8.548,53500.0
2005-05-12,8.438,187500.0
2005-05-13,8.3876,214000.0
2005-05-16,8.376,92000.0
2005-05-17,8.378,159000.0
2005-05-18,8.42,118500.0
2005-05-19,8.406,108000.0
2005-05-20,8.34,111000.0
2005-05-23,8.332,187000.0
2005-05-24,8.346,51500.0
2005-05-25,8.378,563000.0
2005-05-26,8.338,48000.0
2005-05-27,8.394,55000.0
2005-05-31,8.338,82500.0
2005-06-01,8.312,158500.0
2005-06-02,8.428,126000.0
2005-06-03,8.45,108000.0
2005-06-06,8.51,113500.0
2005-06-07,8.488,170000.0
2005-06-08,8.472,44000.0
2005-06-09,8.464,75500.0
2005-06-10,8.54,63500.0
2005-06-13,8.568,86500.0
2005-06-14,8.526,228500.0
2005-06-15,8.558,286000.0
2005-06-16,8.688,220500.0
2005-06-17,8.742,278500.0
2005-06-20,8.744,292000.0
2005-06-21,8.76,198000.0
2005-06-22,8.756,78500.0
2005-06-23,8.816,542000.0
2005-06-24,8.782,593000.0
2005-06-27,8.784,166000.0
2005-06-28,8.694,263000.0
2005-06-29,8.734,110500.0
2005-06-30,8.692,228000.0
2005-07-01,8.548,1129000.0
2005-07-05,8.46,327500.0
2005-07-06,8.45,142000.0
2005-07-07,8.476,513500.0
2005-07-08,8.462,787500.0
2005-07-11,8.506,414500.0
2005-07-12,8.534,389500.0
2005-07-13,8.476,190500.0
2005-07-14,8.388,323000.0
2005-07-15,8.414,154000.0
2005-07-18,8.406,88000.0
2005-07-19,8.394,81500.0
2005-07-20,8.446,497500.0
2005-07-21,8.498,591500.0
2005-07-22,8.496,434000.0
2005-07-25,8.508,77500.0
2005-07-26,8.456,158000.0
2005-07-27,8.496,134000.0
2005-07-28,8.554,439500.0
2005-07-29,8.578,45500.0
2005-08-01,8.636,194000.0
2005-08-02,8.63,686000.0
2005-08-03,8.728,163000.0
2005-08-04,8.74,258500.0
2005-08-05,8.73,687000.0
2005-08-08,8.68,198000.0
2005-08-09,8.676,87500.0
2005-08-10,8.724,204000.0
2005-08-11,8.9,264500.0
2005-08-12,8.904,297000.0
2005-08-15,8.832,412000.0
2005-08-16,8.908,188000.0
2005-08-17,8.79,455500.0
2005-08-18,8.778,667000.0
2005-08-19,8.738,253500.0
2005-08-22,8.748,357500.0
2005-08-23,8.76,221500.0
2005-08-24,8.73,293000.0
2005-08-25,8.752,68500.0
2005-08-26,8.7312,303000.0
2005-08-29,8.724,169500.0
2005-08-30,8.612,514000.0
2005-08-31,8.686,425500.0
2005-09-01,8.848,523000.0
2005-09-02,8.854,200000.0
2005-09-06,8.86,132500.0
2005-09-07,8.868,207500.0
2005-09-08,8.934,134500.0
2005-09-09,8.978,233000.0
2005-09-12,8.98,155500.0
2005-09-13,8.914,247500.0
2005-09-14,8.992,268500.0
2005-09-15,9.098,454000.0
2005-09-16,9.174,362500.0
2005-09-19,9.256,1614500.0
2005-09-20,9.26,379500.0
2005-09-21,9.42,629500.0
2005-09-22,9.288,666500.0
2005-09-23,9.256,243000.0
2005-09-26,9.316,562500.0
2005-09-27,9.256,1138500.0
2005-09-28,9.37,391500.0
2005-09-29,9.43,310000.0
2005-09-30,9.36,317000.0
2005-10-03,9.302,253500.0
2005-10-04,9.296,855000.0
2005-10-05,9.282,1380000.0
2005-10-06,9.454,330500.0
2005-10-07,9.504,247500.0
2005-10-10,9.498,278500.0
2005-10-11,9.49,479500.0
2005-10-12,9.392,959000.0
2005-10-13,9.406,1033000.0
2005-10-14,9.366,407500.0
2005-10-17,9.462,416000.0
2005-10-18,9.406,206000.0
2005-10-19,9.28,502500.0
2005-10-20,9.208,984500.0
2005-10-21,9.312,251000.0
2005-10-24,9.286,272000.0
2005-10-25,9.43,898500.0
2005-10-26,9.39,220500.0
2005-10-27,9.456,160000.0
2005-10-28,9.45,130500.0
2005-10-31,9.294,244500.0
2005-11-01,9.15,821500.0
2005-11-02,9.224,732000.0
2005-11-03,9.192,286500.0
2005-11-04,9.116,401500.0
2005-11-07,9.17,113500.0
2005-11-08,9.212,144500.0
2005-11-09,9.312,198500.0
2005-11-10,9.306,291500.0
2005-11-11,9.348,145000.0
2005-11-14,9.33,67500.0
2005-11-15,9.328,160000.0
2005-11-16,9.55,340500.0
2005-11-17,9.7,418500.0
2005-11-18,9.698,216500.0
2005-11-21,9.808,504500.0
2005-11-22,9.87,383000.0
2005-11-23,9.86,914500.0
2005-11-25,9.906,173000.0
2005-11-28,9.954,599500.0
2005-11-29,9.97,934500.0
2005-11-30,9.828,299000.0
2005-12-01,10.034,474500.0
2005-12-02,10.066,465000.0
2005-12-05,10.156,662000.0
2005-12-06,10.192,387500.0
2005-12-07,10.28,557000.0
2005-12-08,10.392,551000.0
2005-12-09,10.476,826000.0
2005-12-12,10.532,1371000.0
2005-12-13,10.33,1917000.0
2005-12-14,10.078,1550000.0
2005-12-15,10.046,465500.0
2005-12-16,10.036,491000.0
2005-12-19,10.054,786500.0
2005-12-20,9.82,703000.0
2005-12-21,9.882,939000.0
2005-12-22,10.05,489500.0
2005-12-23,10.036,237500.0
2005-12-27,10.13,561000.0
2005-12-28,10.296,620000.0
2005-12-29,10.32,577000.0
2005-12-30,10.3456,1327500.0
2006-01-03,10.642,1109500.0
2006-01-04,10.662,898500.0
2006-01-05,10.472,723000.0
2006-01-06,10.764,984500.0
2006-01-09,10.93,702500.0
2006-01-10,10.822,1113000.0
2006-01-11,10.91,793500.0
2006-01-12,10.896,1079000.0
2006-01-13,11.108,695000.0
2006-01-17,11.068,1433000.0
2006-01-18,10.82,837500.0
2006-01-19,11.12,1647000.0
2006-01-20,11.046,1537500.0
2006-01-23,11.166,1350000.0
2006-01-24,11.154,678000.0
2006-01-25,11.248,860000.0
2006-01-26,11.17,924000.0
2006-01-27,11.142,841000.0
2006-01-30,11.354,1154000.0
2006-01-31,11.358,878000.0
2006-02-01,11.366,1002000.0
2006-02-02,11.416,927000.0
2006-02-03,11.316,1006500.0
2006-02-06,11.37,1125000.0
2006-02-07,10.932,1950500.0
2006-02-08,10.982,1224000.0
2006-02-09,11.25,797000.0
2006-02-10,10.976,618000.0
2006-02-13,10.742,1007000.0
2006-02-14,10.914,1008500.0
2006-02-15,10.764,995000.0
2006-02-16,10.922,1556500.0
2006-02-17,11.008,612000.0
2006-02-21,11.0305,916500.0
2006-02-22,11.068,670500.0
2006-02-23,10.946,811500.0
2006-02-24,11.15,419000.0
2006-02-27,11.05,580000.0
2006-02-28,11.21,502500.0
2006-03-01,11.232,898000.0
2006-03-02,11.36,591000.0
2006-03-03,11.28,506500.0
2006-03-06,11.068,443500.0
2006-03-07,11.012,906000.0
2006-03-08,10.798,749500.0
2006-03-09,10.87,575500.0
2006-03-10,10.78,2013000.0
2006-03-13,10.874,330000.0
2006-03-14,10.996,321000.0
2006-03-15,11.042,251000.0
2006-03-16,11.068,281000.0
2006-03-17,11.04,231000.0
2006-03-20,11.046,424500.0
2006-03-21,10.984,408500.0
2006-03-22,10.966,350500.0
2006-03-23,10.96,338000.0
2006-03-24,11.154,545000.0
2006-03-27,11.288,814000.0
2006-03-28,11.228,1634500.0
2006-03-29,11.434,667500.0
2006-03-30,11.726,1220500.0
2006-03-31,11.646,598000.0
2006-04-03,11.712,863500.0
2006-04-04,11.7,515500.0
2006-04-05,11.754,574500.0
2006-04-06,11.874,752000.0
2006-04-07,11.744,586000.0
2006-04-10,11.938,420000.0
2006-04-11,11.834,915000.0
2006-04-12,11.904,440500.0
2006-04-13,11.936,535000.0
2006-04-17,12.246,626500.0
2006-04-18,12.4,991500.0
2006-04-19,12.752,1488000.0
2006-04-20,12.2102,2142000.0
2006-04-21,12.664,925500.0
2006-04-24,12.34,1146500.0
2006-04-25,12.586,788000.0
2006-04-26,12.76,642500.0
2006-04-27,12.602,701500.0
2006-04-28,13.036,1261500.0
2006-05-01,13.044,1320000.0
2006-05-02,13.338,1064000.0
2006-05-03,13.324,1345500.0
2006-05-04,13.516,1209000.0
2006-05-05,13.61,1534500.0
2006-05-08,13.5362,980500.0
2006-05-09,13.946,1312000.0
2006-05-10,14.11,1061000.0
2006-05-11,14.254,2308500.0
2006-05-12,14.244,1926500.0
2006-05-15,13.506,3377500.0
2006-05-16,13.718,1797500.0
2006-05-17,13.63,1664500.0
2006-05-18,13.516,1695000.0
2006-05-19,13.14,2807000.0
2006-05-22,13.094,2402000.0
2006-05-23,13.26,1638500.0
2006-05-24,12.816,1631000.0
2006-05-25,12.956,1022500.0
2006-05-26,13.02,576000.0
2006-05-30,13.064,845500.0
2006-05-31,12.84,1658500.0
2006-06-01,12.54,3427500.0
2006-06-02,12.72,819000.0
2006-06-05,12.676,839500.0
2006-06-06,12.508,1647500.0
2006-06-07,12.46,1072000.0
2006-06-08,12.182,2139000.0
2006-06-09,12.056,1391500.0
2006-06-12,12.016,599500.0
2006-06-13,11.174,3361500.0
2006-06-14,11.12,1280500.0
2006-06-15,11.43,1139000.0
2006-06-16,11.538,702000.0
2006-06-19,11.29,800000.0
2006-06-20,11.45,1730500.0
2006-06-21,11.69,367000.0
2006-06-22,11.55,654000.0
2006-06-23,11.62,760500.0
2006-06-26,11.652,260500.0
2006-06-27,11.554,999000.0
2006-06-28,11.52,765000.0
2006-06-29,11.92,1394500.0
2006-06-30,12.246,1988000.0
2006-07-03,12.484,723000.0
2006-07-05,12.496,777500.0
2006-07-06,12.61,706000.0
2006-07-07,12.54,872500.0
2006-07-10,12.43,406000.0
2006-07-11,12.798,527000.0
2006-07-12,12.99,850500.0
2006-07-13,13.12,1980500.0
2006-07-14,13.216,1464500.0
2006-07-17,12.806,1254000.0
2006-07-18,12.572,1155000.0
2006-07-19,12.838,1334000.0
2006-07-20,12.516,1179000.0
2006-07-21,12.37,991500.0
2006-07-24,12.216,1438500.0
2006-07-25,12.338,746000.0
2006-07-26,12.4,699500.0
2006-07-27,12.592,732500.0
2006-07-28,12.63,380500.0
2006-07-31,12.652,406500.0
2006-08-01,12.888,439500.0
2006-08-02,12.946,725500.0
2006-08-03,12.83,623000.0
2006-08-04,12.8724,399500.0
2006-08-07,12.926,313500.0
2006-08-08,12.822,577500.0
2006-08-09,12.942,563500.0
2006-08-10,12.664,749000.0
2006-08-11,12.56,755000.0
2006-08-14,12.456,501500.0
2006-08-15,12.4,920000.0
2006-08-16,12.48,525000.0
2006-08-17,12.23,716000.0
2006-08-18,12.22,536000.0
2006-08-21,12.494,718500.0
2006-08-22,12.428,456000.0
2006-08-23,12.374,701000.0
2006-08-24,12.352,496500.0
2006-08-25,12.35,429500.0
2006-08-28,12.19,1345500.0
2006-08-29,12.21,1100500.0
2006-08-30,12.312,456500.0
2006-08-31,12.464,581000.0
2006-09-01,12.456,508500.0
2006-09-05,12.714,1235000.0
2006-09-06,12.582,932000.0
2006-09-07,12.262,628000.0
2006-09-08,12.137,1510500.0
2006-09-11,11.718,2528000.0
2006-09-12,11.698,911000.0
2006-09-13,11.732,1352000.0
2006-09-14,11.444,1197000.0
2006-09-15,11.492,1248500.0
2006-09-18,11.662,919500.0
2006-09-19,11.383,1226500.0
2006-09-20,11.46,1060000.0
2006-09-21,11.604,920500.0
2006-09-22,11.712,546000.0
2006-09-25,11.69,494500.0
2006-09-26,11.75,690000.0
2006-09-27,11.97,571500.0
2006-09-28,11.96,683000.0
2006-09-29,11.904,792500.0
2006-10-02,11.82,2932000.0
2006-10-03,11.43,794000.0
2006-10-04,11.274,1330500.0
2006-10-05,11.392,680500.0
2006-10-06,11.37,685000.0
2006-10-09,11.434,631500.0
2006-10-10,11.386,698500.0
2006-10-11,11.37,660000.0
2006-10-12,11.516,478000.0
2006-10-13,11.72,525000.0
2006-10-16,11.836,395500.0
2006-10-17,11.726,437500.0
2006-10-18,11.712,136000.0
2006-10-19,11.908,446500.0
2006-10-20,11.742,633500.0
2006-10-23,11.546,503500.0
2006-10-24,11.64,860500.0
2006-10-25,11.746,541500.0
2006-10-26,11.846,523000.0
2006-10-27,11.89,292500.0
2006-10-30,11.982,585000.0
2006-10-31,12.026,296500.0
2006-11-01,12.278,950000.0
2006-11-02,12.4,951500.0
2006-11-03,12.478,500500.0
2006-11-06,12.394,557500.0
2006-11-07,12.42,321000.0
2006-11-08,12.236,1079000.0
2006-11-09,12.606,1041500.0
2006-11-10,12.496,818500.0
2006-11-13,12.426,495000.0
2006-11-14,12.332,596500.0
2006-11-15,12.378,1239000.0
2006-11-16,12.266,823500.0
2006-11-17,12.354,1101000.0
2006-11-20,12.354,1294500.0
2006-11-21,12.47,1355500.0
2006-11-22,12.544,593500.0
2006-11-24,12.698,707000.0
2006-11-27,12.74,782000.0
2006-11-28,12.708,1101000.0
2006-11-29,12.648,590000.0
2006-11-30,12.884,1156500.0
2006-12-01,12.83,1098500.0
2006-12-04,12.836,723000.0
2006-12-05,12.778,1045000.0
2006-12-06,12.536,759500.0
2006-12-07,12.552,444000.0
2006-12-08,12.416,926000.0
2006-12-11,12.528,583500.0
2006-12-12,12.518,442000.0
2006-12-13,12.494,460500.0
2006-12-14,12.428,673000.0
2006-12-15,12.222,1056500.0
2006-12-18,12.22,803500.0
2006-12-19,12.37,3845500.0
2006-12-20,12.34,544500.0
2006-12-21,12.284,482000.0
2006-12-22,12.318,276000.0
2006-12-26,12.41,217500.0
2006-12-27,12.476,518500.0
2006-12-28,12.61,539000.0
2006-12-29,12.65,879000.0
2007-01-03,12.46,1380500.0
2007-01-04,12.36,804500.0
2007-01-05,12.042,1936500.0
2007-01-08,12.108,1117000.0
2007-01-09,12.188,806500.0
2007-01-10,12.14,787000.0
2007-01-11,12.15,625000.0
2007-01-12,12.44,969500.0
2007-01-16,12.43,686000.0
2007-01-17,12.552,1192500.0
2007-01-18,12.45,2955000.0
2007-01-19,12.624,762000.0
2007-01-22,12.568,567000.0
2007-01-23,12.856,610500.0
2007-01-24,12.882,631500.0
2007-01-25,12.826,638000.0
2007-01-26,12.836,386000.0
2007-01-29,12.772,493000.0
2007-01-30,12.86,452000.0
2007-01-31,12.97,564000.0
2007-02-01,13.056,572500.0
2007-02-02,12.87,810000.0
2007-02-05,12.868,359500.0
2007-02-06,12.974,435000.0
2007-02-07,12.948,398000.0
2007-02-08,13.116,498500.0
2007-02-09,13.24,772000.0
2007-02-12,13.146,384000.0
2007-02-13,13.184,389000.0
2007-02-14,13.29,761000.0
2007-02-15,13.3,952500.0
2007-02-16,13.284,701000.0
2007-02-20,13.074,766500.0
2007-02-21,13.472,1113000.0
2007-02-22,13.452,580000.0
2007-02-23,13.556,710000.0
2007-02-26,13.648,634880.0
2007-02-27,13.15,2141500.0
2007-02-28,13.308,1271000.0
2007-03-01,13.174,960500.0
2007-03-02,12.738,1317500.0
2007-03-05,12.604,1318500.0
2007-03-06,12.856,580000.0
2007-03-07,12.89,864000.0
2007-03-08,12.928,498000.0
2007-03-09,12.89,568500.0
2007-03-12,12.906,285500.0
2007-03-13,12.768,318500.0
2007-03-14,12.812,914500.0
2007-03-15,12.824,347500.0
2007-03-16,12.94,330500.0
2007-03-19,12.982,528500.0
2007-03-20,13.05,334500.0
2007-03-21,13.168,422000.0
2007-03-22,13.17,572500.0
2007-03-23,13.046,495000.0
2007-03-26,13.18,347500.0
2007-03-27,13.152,281500.0
2007-03-28,13.23,372000.0
2007-03-29,13.138,526000.0
2007-03-30,13.166,371500.0
2007-04-02,13.182,334500.0
2007-04-03,13.182,336000.0
2007-04-04,13.378,522500.0
2007-04-05,13.39,616500.0
2007-04-09,13.32,547000.0
2007-04-10,13.424,523000.0
2007-04-11,13.424,260000.0
2007-04-12,13.412,304000.0
2007-04-13,13.582,406000.0
2007-04-16,13.688,781500.0
2007-04-17,13.62,332000.0
2007-04-18,13.6902,544500.0
2007-04-19,13.53,545000.0
2007-04-20,13.734,260000.0
2007-04-23,13.668,392000.0
2007-04-24,13.568,873000.0
2007-04-25,13.598,998000.0
2007-04-26,13.382,527000.0
2007-04-27,13.52,835500.0
2007-04-30,13.44,558500.0
2007-05-01,13.36,373500.0
2007-05-02,13.348,326500.0
2007-05-03,13.516,347500.0
2007-05-04,13.652,524000.0
2007-05-07,13.664,251000.0
2007-05-08,13.592,232000.0
2007-05-09,13.506,365500.0
2007-05-10,13.216,947000.0
2007-05-11,13.31,514000.0
2007-05-14,13.274,561000.0
2007-05-15,13.332,438500.0
2007-05-16,13.138,756000.0
2007-05-17,13.034,765500.0
2007-05-18,13.12,417000.0
2007-05-21,13.154,668470.0
2007-05-22,13.068,735000.0
2007-05-23,13.128,577500.0
2007-05-24,12.968,719500.0
2007-05-25,12.998,650500.0
2007-05-29,13.042,722500.0
2007-05-30,12.958,561500.0
2007-05-31,13.118,941500.0
2007-06-01,13.312,696500.0
2007-06-04,13.31,462000.0
2007-06-05,13.278,210000.0
2007-06-06,13.3,351000.0
2007-06-07,13.07,323500.0
2007-06-08,12.848,1127500.0
2007-06-11,12.962,225500.0
2007-06-12,12.836,224000.0
2007-06-13,12.924,730500.0
2007-06-14,12.93,839500.0
2007-06-15,12.986,581500.0
2007-06-18,13.012,289000.0
2007-06-19,13.106,257500.0
2007-06-20,12.94,352000.0
2007-06-21,12.908,383500.0
2007-06-22,12.98,480000.0
2007-06-25,12.906,371500.0
2007-06-26,12.746,822500.0
2007-06-27,12.76,314000.0
2007-06-28,12.884,340500.0
2007-06-29,12.882,367000.0
2007-07-02,13.02,326000.0
2007-07-03,12.9591,141000.0
2007-07-05,12.9,647500.0
2007-07-06,13.016,626500.0
2007-07-09,13.09,583000.0
2007-07-10,13.142,437500.0
2007-07-11,13.086,276500.0
2007-07-12,13.2,711000.0
2007-07-13,13.202,248000.0
2007-07-16,13.182,372500.0
2007-07-17,13.1614,279000.0
2007-07-18,13.34,842000.0
2007-07-19,13.424,550500.0
2007-07-20,13.53,788000.0
2007-07-23,13.486,832000.0
2007-07-24,13.504,385000.0
2007-07-25,13.376,840500.0
2007-07-26,13.134,1001500.0
2007-07-27,13.1,368000.0
2007-07-30,13.154,448500.0
2007-07-31,13.182,229500.0
2007-08-01,13.194,263500.0
2007-08-02,13.184,344000.0
2007-08-03,13.366,622000.0
2007-08-06,13.316,522500.0
2007-08-07,13.31,1104000.0
2007-08-08,13.35,1346000.0
2007-08-09,13.102,458000.0
2007-08-10,13.334,536000.0
2007-08-13,13.254,469500.0
2007-08-14,13.254,1486000.0
2007-08-15,13.228,2165500.0
2007-08-16,12.924,1778000.0
2007-08-17,13.028,576000.0
2007-08-20,13.016,430000.0
2007-08-21,13.034,465500.0
2007-08-22,13.1,808500.0
2007-08-23,13.052,1282500.0
2007-08-24,13.238,532000.0
2007-08-27,13.222,323000.0
2007-08-28,13.118,498500.0
2007-08-29,13.23,343000.0
2007-08-30,13.172,323000.0
2007-08-31,13.3272,522500.0
2007-09-04,13.508,507500.0
2007-09-05,13.524,536000.0
2007-09-06,13.794,852000.0
2007-09-07,13.886,969500.0
2007-09-10,13.936,633000.0
2007-09-11,14.106,1440000.0
2007-09-12,14.106,795500.0
2007-09-13,14.03,1104500.0
2007-09-14,14.036,846000.0
2007-09-17,14.214,958500.0
2007-09-18,14.34,2409000.0
2007-09-19,14.316,1304500.0
2007-09-20,14.564,1943500.0
2007-09-21,14.492,1943000.0
2007-09-24,14.476,1802500.0
2007-09-25,14.492,607500.0
2007-09-26,14.436,692500.0
2007-09-27,14.546,440000.0
2007-09-28,14.726,820000.0
2007-10-01,14.808,680500.0
2007-10-02,14.502,1430500.0
2007-10-03,14.422,971000.0
2007-10-04,14.62,1240000.0
2007-10-05,14.708,872500.0
2007-10-08,14.522,514500.0
2007-10-09,14.6145,779000.0
2007-10-10,14.692,733500.0
2007-10-11,14.806,1373500.0
2007-10-12,14.858,753000.0
2007-10-15,15.042,1006000.0
2007-10-16,15.036,630500.0
2007-10-17,14.942,909500.0
2007-10-18,15.19,549500.0
2007-10-19,15.166,954500.0
2007-10-22,14.938,1009000.0
2007-10-23,15.044,1037000.0
2007-10-24,15.138,674500.0
2007-10-25,15.232,783000.0
2007-10-26,15.558,849500.0
2007-10-29,15.648,1190000.0
2007-10-30,15.498,581000.0
2007-10-31,15.72,1281500.0
2007-11-01,15.624,1055000.0
