,Close
2000-01-04,5.375
2000-01-05,5.21
2000-01-06,5.167
2000-01-07,5.195
2000-01-10,5.19
2000-01-11,5.195
2000-01-12,5.143
2000-01-13,5.153
2000-01-14,5.15
2000-01-18,5.165
2000-01-19,5.173
2000-01-20,5.257
2000-01-21,5.26
2000-01-24,5.293
2000-01-25,5.315
2000-01-26,5.283
2000-01-27,5.415
2000-01-28,5.327
2000-01-31,5.317
2000-02-01,5.253
2000-02-02,5.24
2000-02-03,5.288
2000-02-04,5.572
2000-02-07,5.285
2000-02-08,5.34
2000-02-09,5.43
2000-02-10,5.425
2000-02-11,5.35
2000-02-14,5.27
2000-02-15,5.258
2000-02-16,5.305
2000-02-17,5.265
2000-02-18,5.283
2000-02-22,5.293
2000-02-23,5.263
2000-02-24,5.17
2000-02-25,5.04
2000-02-28,5.048
2000-02-29,5.048
2000-03-01,5.073
2000-03-02,5.008
2000-03-03,5.099
2000-03-06,5.053
2000-03-07,5.069
2000-03-08,5.077
2000-03-09,5.097
2000-03-10,5.064
2000-03-13,5.064
2000-03-14,5.092
2000-03-15,5.127
2000-03-16,5.087
2000-03-17,5.092
2000-03-20,5.03
2000-03-21,5.121
2000-03-22,5.13
2000-03-23,5.09
2000-03-24,5.119
2000-03-27,5.093
2000-03-28,5.076
2000-03-29,4.956
2000-03-30,4.983
2000-03-31,5.045
2000-04-03,5.057
2000-04-04,5.165
2000-04-05,5.137
2000-04-06,5.132
2000-04-07,5.122
2000-04-10,5.168
2000-04-11,5.145
2000-04-12,5.148
2000-04-13,5.175
2000-04-14,5.175
2000-04-17,5.143
2000-04-18,5.14
2000-04-19,5.133
2000-04-20,5.0
2000-04-24,4.953
2000-04-25,5.015
2000-04-26,4.947
2000-04-27,4.958
2000-04-28,4.96
2000-05-01,5.025
2000-05-02,5.025
2000-05-03,5.025
2000-05-04,5.123
2000-05-05,5.006
2000-05-08,5.02
2000-05-09,5.04
2000-05-10,5.037
2000-05-11,5.021
2000-05-12,5.019
2000-05-15,5.023
2000-05-16,5.108
2000-05-17,5.003
2000-05-18,5.02
2000-05-19,4.995
2000-05-22,5.015
2000-05-23,5.016
2000-05-24,4.992
2000-05-25,4.92
2000-05-26,4.937
2000-05-30,4.948
2000-05-31,4.965
2000-06-01,4.965
2000-06-02,5.05
2000-06-05,5.075
2000-06-06,5.11
2000-06-07,5.12
2000-06-08,5.097
2000-06-09,5.062
2000-06-12,5.042
2000-06-13,5.025
2000-06-14,5.09
2000-06-15,5.077
2000-06-16,5.085
2000-06-19,5.043
2000-06-20,5.035
2000-06-21,4.97
2000-06-22,4.978
2000-06-23,4.958
2000-06-26,4.985
2000-06-27,4.958
2000-06-28,4.989
2000-06-29,4.997
2000-06-30,5.033
2000-07-05,4.993
2000-07-06,5.004
2000-07-07,4.986
2000-07-10,5.006
2000-07-11,4.963
2000-07-12,4.976
2000-07-13,4.983
2000-07-14,5.003
2000-07-17,5.018
2000-07-18,5.022
2000-07-19,4.982
2000-07-20,4.996
2000-07-21,4.926
2000-07-24,4.946
2000-07-25,4.992
2000-07-26,4.952
2000-07-27,4.967
2000-07-28,5.0
2000-07-31,5.038
2000-08-01,5.028
2000-08-02,5.023
2000-08-03,5.005
2000-08-04,4.943
2000-08-07,4.97
2000-08-08,4.935
2000-08-09,4.918
2000-08-10,4.925
2000-08-11,4.945
2000-08-14,4.908
2000-08-15,4.883
2000-08-16,4.875
2000-08-17,4.883
2000-08-18,4.855
2000-08-21,4.868
2000-08-22,4.848
2000-08-23,4.798
2000-08-24,4.86
2000-08-25,4.895
2000-08-28,4.935
2000-08-29,4.947
2000-08-30,4.93
2000-08-31,5.003
2000-09-01,5.004
2000-09-05,4.998
2000-09-06,4.983
2000-09-07,4.935
2000-09-08,4.923
2000-09-11,4.885
2000-09-12,4.909
2000-09-13,4.892
2000-09-14,4.888
2000-09-15,4.868
2000-09-18,4.876
2000-09-19,4.883
2000-09-20,4.83
2000-09-21,4.872
2000-09-22,4.91
2000-09-25,4.915
2000-09-26,4.931
2000-09-27,4.968
2000-09-28,5.002
2000-09-29,4.948
2000-10-02,4.955
2000-10-03,4.962
2000-10-04,4.923
2000-10-05,4.938
2000-10-06,4.928
2000-10-09,4.93
2000-10-10,4.963
2000-10-11,4.915
2000-10-12,4.968
2000-10-13,4.925
2000-10-16,4.923
2000-10-17,4.885
2000-10-18,4.893
2000-10-19,4.865
2000-10-20,4.865
2000-10-23,4.82
2000-10-24,4.833
2000-10-25,4.798
2000-10-26,4.765
2000-10-27,4.78
2000-10-30,4.77
2000-10-31,4.778
2000-11-01,4.798
2000-11-02,4.735
2000-11-03,4.765
2000-11-06,4.785
2000-11-07,4.745
2000-11-08,4.763
2000-11-09,4.765
2000-11-10,4.723
2000-11-13,4.688
2000-11-14,4.695
2000-11-15,4.688
2000-11-16,4.673
2000-11-17,4.658
2000-11-20,4.655
2000-11-21,4.63
2000-11-22,4.628
2000-11-27,4.698
2000-11-28,4.698
2000-11-29,4.615
2000-11-30,4.674
2000-12-01,4.64
2000-12-04,4.714
2000-12-05,4.704
2000-12-06,4.754
2000-12-07,4.724
2000-12-08,4.648
2000-12-11,4.656
2000-12-12,4.66
2000-12-13,4.623
2000-12-14,4.598
2000-12-15,4.563
2000-12-18,4.575
2000-12-19,4.585
2000-12-20,4.596
2000-12-21,4.599
2000-12-22,4.611
2000-12-26,4.623
2000-12-27,4.583
2000-12-28,4.637
2000-12-29,4.635
2001-01-02,4.595
2001-01-03,4.54
2001-01-04,4.58
2001-01-05,4.6
2001-01-08,4.59
2001-01-09,4.59
2001-01-10,4.575
2001-01-11,4.593
2001-01-12,4.655
2001-01-16,4.71
2001-01-17,4.743
2001-01-18,4.825
2001-01-19,4.78
2001-01-22,4.805
2001-01-23,4.805
2001-01-24,4.793
2001-01-25,4.81
2001-01-26,4.825
2001-01-29,4.823
2001-01-30,4.82
2001-01-31,4.815
2001-02-01,4.81
2001-02-02,4.788
2001-02-05,4.698
2001-02-06,4.67
2001-02-07,4.625
2001-02-08,4.57
2001-02-09,4.563
2001-02-12,4.56
2001-02-13,4.55
2001-02-14,4.515
2001-02-15,4.518
2001-02-16,4.49
2001-02-20,4.42
2001-02-21,4.408
2001-02-22,4.415
2001-02-23,4.433
2001-02-26,4.445
2001-02-27,4.414
2001-02-28,4.472
2001-03-01,4.395
2001-03-02,4.419
2001-03-05,4.416
2001-03-06,4.408
2001-03-07,4.428
2001-03-08,4.476
2001-03-09,4.488
2001-03-12,4.409
2001-03-13,4.419
2001-03-14,4.428
2001-03-15,4.325
2001-03-16,4.288
2001-03-19,4.295
2001-03-20,4.328
2001-03-21,4.323
2001-03-22,4.334
2001-03-23,4.342
2001-03-26,4.359
2001-03-27,4.414
2001-03-28,4.354
2001-03-29,4.335
2001-03-30,4.295
2001-04-02,4.315
2001-04-03,4.313
2001-04-04,4.34
2001-04-05,4.353
2001-04-06,4.335
2001-04-09,4.315
2001-04-10,4.325
2001-04-11,4.363
2001-04-12,4.368
2001-04-16,4.44
2001-04-17,4.368
2001-04-18,4.365
2001-04-19,4.427
